customer_id,product_id,sale_month,sale_year,unit_sale,product_rate,total_amount
1191,8406,April,2025,10,92,920
1191,8413,April,2025,20,95.17,1903.4
1191,8457,April,2025,300,61.2,18360
1191,8467,April,2025,50,333.2,16660
1191,8485,April,2025,80,93.5,7480
1191,8512,April,2025,50,104.55,5227.5
1191,8534,April,2025,100,102,10200
1191,8594,April,2025,10,228.02,2280.2
1191,8603,April,2025,135,51.85,6999.75
1191,8605,April,2025,80,74.35,5948
1191,8615,April,2025,10,49.73,497.3
1191,8620,April,2025,50,144.5,7225
1191,8633,April,2025,20,79.81,1596.2
1191,8664,April,2025,270,63.75,17212.5
1191,8673,April,2025,30,41.34,1240.2
1191,8901,April,2025,10,187,1870
1191,8974,April,2025,10,119,1190
1191,8986,April,2025,50,93.5,4675
1191,9001,April,2025,150,55.25,8287.5
1191,9065,April,2025,20,99.45,1989
1193,16,April,2025,1,255,255
1193,25,April,2025,20,118.15,2363
1193,50,April,2025,3,170,510
1193,8457,April,2025,10,61.2,612
1193,8467,April,2025,2,333.2,666.4
1193,8485,April,2025,3,93.5,280.5
1193,8980,April,2025,2,93.5,187
1195,3,April,2025,4,324.7,1298.8
1195,50,April,2025,10,170,1700
1195,8457,April,2025,10,61.2,612
1195,8485,April,2025,10,93.5,935
1195,8664,April,2025,10,63.75,637.5
1195,8673,April,2025,4,41.34,165.36
1195,8901,April,2025,2,187,374
1195,8974,April,2025,6,119,714
1206,8457,April,2025,20,61.2,1224
1206,8467,April,2025,2,333.2,666.4
1206,8474,April,2025,11,125.65,1382.15
1206,8602,April,2025,1,362.34,362.34
1206,8603,April,2025,15,51.85,777.75
1206,8605,April,2025,10,74.35,743.5
1206,8673,April,2025,10,41.34,413.4
1206,8974,April,2025,10,119,1190
1206,8980,April,2025,10,93.5,935
1206,9012,April,2025,1,465.38,465.38
1227,3,April,2025,5,324.7,1623.5
1227,44,April,2025,10,90.94,909.4
1227,50,April,2025,10,170,1700
1227,8407,April,2025,2,127.5,255
1227,8457,April,2025,20,61.2,1224
1227,8510,April,2025,2,599.15,1198.3
1227,8594,April,2025,3,228.02,684.06
1227,8901,April,2025,2,187,374
1227,9012,April,2025,2,465.38,930.76
1232,3,April,2025,4,324.7,1298.8
1232,50,April,2025,5,170,850
1232,8164,April,2025,12,119,1428
