customer_id,product_id,sale_month,sale_year,unit_return,product_rate,total_return_amount
1397,8534,April,2025,6,102,612
1397,8603,April,2025,3,51.85,155.55
1397,8620,April,2025,2,144.5,289
1397,8664,April,2025,5,63.75,318.75
1397,8974,April,2025,1,119,119
1397,8980,April,2025,1,93.5,93.5
1397,8986,April,2025,1,93.5,93.5
1397,9001,April,2025,3,55.25,165.75
1397,9006,April,2025,1,229.5,229.5
1397,9047,April,2025,1,212.5,212.5
1406,8673,April,2025,1,41.34,41.34
1421,8164,April,2025,1,119,119
1421,8457,April,2025,1,61.2,61.2
1421,8534,April,2025,1,102,102
1421,8974,April,2025,2,119,238
1421,8980,April,2025,1,93.5,93.5
1429,25,April,2025,1,118.15,118.15
1429,8164,April,2025,1,119,119
1429,8485,April,2025,1,93.5,93.5
1440,8457,April,2025,1,61.2,61.2
1450,25,April,2025,3,118.15,354.45
1450,8457,April,2025,2,61.2,122.4
1450,8974,April,2025,1,119,119
1452,3,April,2025,1,324.7,324.7
1452,8457,April,2025,10,61.2,612
1452,8485,April,2025,3,93.5,280.5
1452,8534,April,2025,10,102,1020
1452,8974,April,2025,1,119,119
1453,8594,April,2025,1,228.02,228.02
1453,8674,April,2025,1,85,85
1453,8974,April,2025,4,119,476
1453,8980,April,2025,1,93.5,93.5
1453,9006,April,2025,1,229.5,229.5
1454,8457,April,2025,2,61.2,122.4
1457,8485,April,2025,5,93.5,467.5
1458,8457,April,2025,45,61.2,2754
1458,8605,April,2025,7,74.35,520.45
1462,8457,April,2025,3,61.2,183.6
1462,8527,April,2025,1,29.75,29.75
1462,8594,April,2025,1,228.02,228.02
1462,8974,April,2025,1,119,119
1462,8980,April,2025,1,93.5,93.5
1466,23,April,2025,1,79.67,79.67
1466,25,April,2025,4,118.15,472.6
1466,44,April,2025,1,90.94,90.94
1466,8457,April,2025,8,61.2,489.6
1466,8485,April,2025,3,93.5,280.5
1466,8534,April,2025,2,102,204
1466,8594,April,2025,1,228.02,228.02
1466,8620,April,2025,3,144.5,433.5
1466,8664,April,2025,1,63.75,63.75
1466,8975,April,2025,1,34,34
1466,8981,April,2025,1,85,85
1466,9001,April,2025,1,55.25,55.25
1466,9004,April,2025,1,85,85
1467,25,April,2025,1,118.15,118.15
1467,8457,April,2025,2,61.2,122.4
1467,8512,April,2025,1,104.55,104.55
1473,3,April,2025,1,324.7,324.7
1473,8406,April,2025,3,92,276
1473,8407,April,2025,4,127.5,510
1473,8413,April,2025,2,95.17,190.34
1473,8485,April,2025,2,93.5,187
1473,8512,April,2025,2,104.55,209.1
1473,8602,April,2025,1,362.34,362.34
1473,8603,April,2025,3,51.85,155.55
1473,8605,April,2025,1,74.35,74.35
1473,8664,April,2025,2,63.75,127.5
1480,8407,April,2025,1,127.5,127.5
1480,8413,April,2025,1,95.17,95.17
1480,8457,April,2025,2,61.2,122.4
1480,8605,April,2025,1,74.35,74.35
1495,8457,April,2025,15,61.2,918
1495,8510,April,2025,2,599.15,1198.3
1495,8514,April,2025,2,74.58,149.16
1495,8534,April,2025,4,102,408
1495,8603,April,2025,2,51.85,103.7
1495,8620,April,2025,4,144.5,578
1495,8664,April,2025,10,63.75,637.5
1495,8974,April,2025,3,119,357
1495,8975,April,2025,2,34,68
1495,9006,April,2025,1,229.5,229.5
1495,9012,April,2025,2,465.38,930.76
1498,8485,April,2025,1,93.5,93.5
1783,25,April,2025,18,118.15,2126.7
1783,8534,April,2025,12,102,1224
1783,9066,April,2025,2,290.03,580.06
2006,8457,April,2025,1,61.2,61.2
2006,8512,April,2025,2,104.55,209.1
2006,8664,April,2025,1,63.75,63.75
2006,8974,April,2025,1,119,119
2009,8457,April,2025,1,61.2,61.2
2009,8485,April,2025,1,93.5,93.5
2009,8603,April,2025,1,51.85,51.85
2011,25,April,2025,3,118.15,354.45
2011,8164,April,2025,1,119,119
2011,8457,April,2025,1,61.2,61.2
2011,8534,April,2025,2,102,204
2011,8664,April,2025,3,63.75,191.25
2012,8467,April,2025,3,333.2,999.6
2021,25,April,2025,1,118.15,118.15
2044,8467,April,2025,1,333.2,333.2
2044,8664,April,2025,10,63.75,637.5
2044,9001,April,2025,10,55.25,552.5
2076,25,April,2025,1,118.15,118.15
2096,8603,April,2025,2,51.85,103.7
2096,8664,April,2025,2,63.75,127.5
2096,8974,April,2025,1,119,119
2096,8975,April,2025,2,34,68
2096,8980,April,2025,1,93.5,93.5
2096,9065,April,2025,2,99.45,198.9
